Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Nov 25 2015,8:00p,Brooklyn Nets,99,Oklahoma City Thunder,110,Box Score,,18203,Chesapeake Energy Arena,
Wed Nov 25 2015,8:30p,Dallas Mavericks,83,San Antonio Spurs,88,Box Score,,18418,AT&T Center,
Wed Nov 25 2015,9:00p,New Orleans Pelicans,120,Phoenix Suns,114,Box Score,,16338,Talking Stick Resort Arena,
Wed Nov 25 2015,10:30p,Utah Jazz,102,Los Angeles Clippers,91,Box Score,,19060,STAPLES Center,
Fri Nov 27 2015,7:00p,Cleveland Cavaliers,95,Charlotte Hornets,90,Box Score,,19093,Time Warner Cable Arena,
Fri Nov 27 2015,7:00p,Milwaukee Bucks,90,Orlando Magic,114,Box Score,,16317,Amway Center,
Fri Nov 27 2015,7:30p,Washington Wizards,78,Boston Celtics,111,Box Score,,18624,TD Garden,
Fri Nov 27 2015,7:30p,Miami Heat,97,New York Knicks,78,Box Score,,19812,Madison Square Garden (IV),
Fri Nov 27 2015,8:00p,Philadelphia 76ers,114,Houston Rockets,116,Box Score,,17306,Toyota Center,
Fri Nov 27 2015,8:00p,Chicago Bulls,92,Indiana Pacers,104,Box Score,,18165,Bankers Life Fieldhouse,
Fri Nov 27 2015,8:00p,Atlanta Hawks,116,Memphis Grizzlies,101,Box Score,,17684,FedEx Forum,
Fri Nov 27 2015,8:00p,Detroit Pistons,87,Oklahoma City Thunder,103,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 27 2015,9:00p,San Antonio Spurs,91,Denver Nuggets,80,Box Score,,17121,Pepsi Center,
Fri Nov 27 2015,9:30p,Golden State Warriors,135,Phoenix Suns,116,Box Score,,18055,Talking Stick Resort Arena,
Fri Nov 27 2015,10:00p,Minnesota Timberwolves,101,Sacramento Kings,91,Box Score,,17317,Sleep Train Arena,
Fri Nov 27 2015,10:30p,New Orleans Pelicans,90,Los Angeles Clippers,111,Box Score,,19162,STAPLES Center,
Sat Nov 28 2015,7:00p,Toronto Raptors,84,Washington Wizards,82,Box Score,,16841,Verizon Center,
Sat Nov 28 2015,7:30p,Brooklyn Nets,88,Cleveland Cavaliers,90,Box Score,,20562,Quicken Loans Arena,
Sat Nov 28 2015,8:30p,Denver Nuggets,81,Dallas Mavericks,92,Box Score,,20339,American Airlines Center,
Sat Nov 28 2015,8:30p,Atlanta Hawks,88,San Antonio Spurs,108,Box Score,,18418,AT&T Center,
Sat Nov 28 2015,9:00p,New Orleans Pelicans,87,Utah Jazz,101,Box Score,,19911,Vivint Smart Home Arena,
Sat Nov 28 2015,10:00p,Los Angeles Lakers,96,Portland Trail Blazers,108,Box Score,,20019,Moda Center,
Sat Nov 28 2015,10:30p,Sacramento Kings,101,Golden State Warriors,120,Box Score,,19596,Oracle Arena,
Sun Nov 29 2015,2:00p,Milwaukee Bucks,82,Charlotte Hornets,87,Box Score,,14224,Time Warner Cable Arena,
Sun Nov 29 2015,3:30p,Minnesota Timberwolves,99,Los Angeles Clippers,107,Box Score,,19060,STAPLES Center,
Sun Nov 29 2015,6:00p,Detroit Pistons,83,Brooklyn Nets,87,Box Score,,12823,Barclays Center,
Sun Nov 29 2015,6:00p,Philadelphia 76ers,84,Memphis Grizzlies,92,Box Score,,15322,FedEx Forum,
Sun Nov 29 2015,6:00p,Boston Celtics,91,Orlando Magic,110,Box Score,,16209,Amway Center,
Sun Nov 29 2015,6:00p,Phoenix Suns,107,Toronto Raptors,102,Box Score,,19800,Air Canada Centre,
Sun Nov 29 2015,7:30p,Houston Rockets,116,New York Knicks,111,Box Score,OT,19812,Madison Square Garden (IV),
Sun Nov 29 2015,9:30p,Indiana Pacers,107,Los Angeles Lakers,103,Box Score,,18997,STAPLES Center,
Mon Nov 30 2015,7:30p,Houston Rockets,105,Detroit Pistons,116,Box Score,,14818,The Palace of Auburn Hills,
Mon Nov 30 2015,7:30p,Boston Celtics,105,Miami Heat,95,Box Score,,19600,AmericanAirlines Arena,
Mon Nov 30 2015,8:00p,Oklahoma City Thunder,100,Atlanta Hawks,106,Box Score,,17768,Philips Arena,
Mon Nov 30 2015,8:00p,San Antonio Spurs,89,Chicago Bulls,92,Box Score,,21909,United Center,
Mon Nov 30 2015,8:00p,Denver Nuggets,74,Milwaukee Bucks,92,Box Score,,10187,BMO Harris Bradley Center,
Mon Nov 30 2015,9:00p,Golden State Warriors,106,Utah Jazz,103,Box Score,,19911,Vivint Smart Home Arena,
Mon Nov 30 2015,10:00p,Dallas Mavericks,98,Sacramento Kings,112,Box Score,,16937,Sleep Train Arena,
Mon Nov 30 2015,10:30p,Portland Trail Blazers,87,Los Angeles Clippers,102,Box Score,,19060,STAPLES Center,
